Offset,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl
,72.45,2, ,4,,21.6,1, ,5,,15.9,3, ,7,,12.6,3, ,3
,73.2,2, ,5,,21.9,2, ,6,,16.05,3, ,2,,12.75,4, ,2
,73.65,2, ,7,,22.05,2, ,1,,16.2,3, ,2,,12.825,4, ,6
,74.1,2, ,4,,22.35,2, ,7,,16.35,3, ,4,,12.9,4, ,5
,74.4,3, ,2,,22.65,2, ,2,,16.5,3, ,5,,12.975,4, ,4
,74.7,3, ,3,,22.95,2, ,5,,16.8,4, ,1,,13.05,4, ,5
,75.45,3, ,3,,23.25,2, ,1,,16.875,4, ,3,,13.125,4, ,8
,75.6,3, ,6,,23.55,2, ,1,,16.95,4, ,7,,13.2,4, ,2
,76.05,3, ,2,,23.7,2, ,5,,17.025,4, ,7,,13.35,3, ,1
,76.5,3, ,8,,24,3, ,8,,17.1,4, ,8,,13.425,3, ,5
,76.8,4, ,1,,24.15,3, ,5,,17.175,4, ,3,,13.575,2, ,8
,77.25,4, ,3,,24.3,3, ,8,,17.25,4, ,7,,13.65,2, ,4
,77.7,4, ,3,,24.45,3, ,1,,17.4,4, ,6,,13.8,1, ,7
,78,4, ,3,,24.75,3, ,4,,17.475,4, ,6,,13.875,1, ,3
,78.45,4, ,4,,24.9,3, ,8,,17.55,4, ,7,,13.95,1, ,6
,78.9,4, ,7,,25.05,3, ,8,,17.625,4, ,1,,14.025,1, ,4
,79.2,1, ,5,,25.35,3, ,2,,17.7,4, ,6,,14.1,1, ,7
,79.5,1, ,7,,25.65,3, ,8,,17.775,4, ,7,,14.175,1, ,6
,79.95,1, ,5,,25.95,3, ,8,,17.85,4, ,2,,14.25,1, ,5
,80.1,1, ,6,,26.1,3, ,6,,18,4, ,2,,14.325,1, ,4
,80.4,2, ,7,,26.4,4, ,7,,18.15,4, ,6,,14.4,1, ,1
,80.85,2, ,7,,26.55,4, ,3,,18.225,4, ,7,,14.7,2, ,4
,81.3,2, ,2,,26.7,4, ,8,,18.3,4, ,5,,14.85,2, ,2
,81.6,3, ,7,,26.85,4, ,6,,18.45,4, ,8,,15,2, ,8
,81.9,3, ,7,,27.15,4, ,4,,18.6,4, ,3,,15.15,2, ,1
,82.2,3, ,1,,27.3,4, ,4,,18.75,4, ,5,,15.3,2, ,2
,82.35,3, ,6,,27.45,4, ,6,,18.9,4, ,3,,15.45,2, ,6
,82.5,3, ,5,,27.75,4, ,1,,19.2,1, ,6,,15.75,3, ,3
,82.8,4, ,7,,28.05,4, ,2,,19.5,1, ,1,,15.9,3, ,5
,83.25,4, ,3,,28.35,4, ,1,,19.65,1, ,3,,16.2,4, ,7
,83.7,4, ,6,,28.5,4, ,6,,19.95,2, ,8,,16.425,4, ,5
,84,2, ,5,,28.8,1, ,7,,20.25,3, ,5,,16.65,4, ,7
,84.3,2, ,4,,29.1,1, ,2,,20.55,4, ,7,,16.8,1, ,4
,84.45,2, ,7,,29.25,1, ,3,,20.85,3, ,6,,16.875,1, ,1
,84.75,2, ,6,,29.55,1, ,2,,21.15,2, ,3,,16.95,1, ,5
,85.05,2, ,3,,29.85,1, ,6,,21.45,1, ,3,,17.025,1, ,6
,85.2,2, ,4,,30.15,1, ,1,,21.6,1, ,2,,17.1,1, ,2
,85.5,2, ,5,,30.45,1, ,8,,21.9,2, ,7,,17.175,1, ,8
,85.8,2, ,7,,30.75,1, ,3,,22.05,2, ,4,,17.25,1, ,3
,86.1,2, ,7,,31.05,1, ,6,,22.35,3, ,1,,17.4,2, ,8
,86.4,1, ,7,,31.2,1, ,1,,22.65,4, ,5,,17.475,2, ,4
,86.85,1, ,4,,31.5,2, ,2,,22.95,3, ,5,,17.55,2, ,2
,87.3,1, ,4,,31.65,2, ,7,,23.25,2, ,3,,17.625,2, ,2
,87.45,1, ,7,,31.95,2, ,5,,23.55,1, ,1,,17.7,2, ,5
,87.6,3, ,7,,32.25,2, ,4,,23.7,1, ,7,,17.775,2, ,7
,87.9,3, ,2,,32.55,2, ,3,,24,1, ,1,,17.85,2, ,4
,88.2,3, ,1,,32.85,2, ,7,,24.15,1, ,4,,18,3, ,2
,88.8,1, ,1,,33.15,2, ,4,,24.225,1, ,5,,18.15,3, ,4
,89.4,1, ,7,,33.3,2, ,1,,24.3,1, ,7,,18.225,3, ,8
,90,2, ,4,,33.6,3, ,5,,24.45,1, ,2,,18.3,3, ,3
,90.6,2, ,8,,33.75,3, ,4,,24.6,1, ,7,,18.45,3, ,1
,91.2,3, ,5,,33.9,3, ,6,,24.675,1, ,8,,18.6,3, ,5
,91.8,3, ,5,,34.05,3, ,6,,24.75,1, ,5,,18.75,3, ,5
,92.4,4, ,7,,34.35,3, ,8,,24.825,1, ,6,,18.9,4, ,6
,93,4, ,5,,34.5,3, ,2,,24.9,1, ,8,,19.2,1, ,1
,93.6,1, ,3,,34.65,3, ,5,,25.05,1, ,7,,19.5,1, ,8
,94.2,1, ,2,,34.95,3, ,8,,25.35,1, ,1,,19.65,2, ,1
,94.8,2, ,3,,35.1,3, ,3,,25.5,1, ,3,,19.725,2, ,3
,95.4,2, ,5,,35.25,3, ,8,,25.65,1, ,7,,19.8,2, ,1
,96,3, ,4,,35.55,3, ,6,,25.725,1, ,1,,19.95,3, ,3
,96.6,3, ,5,,35.7,3, ,2,,25.8,1, ,2,,20.025,3, ,5
,97.2,4, ,1,,36,4, ,1,,25.95,1, ,2,,20.1,3, ,4
,98.1,4, ,7,,36.15,4, ,7,,26.025,1, ,4,,20.25,4, ,3
,98.4,1, ,6,,36.3,4, ,2,,26.1,1, ,8,,20.325,4, ,5
,98.85,1, ,8,,36.45,4, ,7,,26.25,1, ,3,,20.4,4, ,3
,99.3,1, ,2,,36.75,4, ,5,,26.4,2, ,1,,20.55,3, ,3
,99.6,1, ,6,,36.9,4, ,1,,26.55,2, ,5,,20.625,3, ,5
,99.9,1, ,6,,37.05,4, ,2,,26.625,2, ,7,,20.7,3, ,7
,100.2,1, ,4,,37.2,4, ,3,,26.7,2, ,7,,20.85,2, ,8
,100.5,1, ,2,,37.35,4, ,3,,26.85,2, ,1,,20.925,2, ,6
,100.8,2, ,4,,37.5,4, ,4,,27,2, ,2,,21,2, ,8
,101.25,2, ,5,,37.65,4, ,8,,27.075,2, ,2,,21.15,1, ,7
,101.7,2, ,4,,37.8,4, ,8,,27.15,2, ,2,,21.225,1, ,8
,102,2, ,8,,38.4,1, ,7,,27.225,2, ,3,,21.3,1, ,7
,102.3,2, ,2,,38.55,1, ,5,,27.3,2, ,1,,21.45,2, ,6
,102.6,2, ,6,,38.7,1, ,3,,27.45,2, ,8,,21.525,2, ,3
,102.9,2, ,1,,38.85,1, ,6,,27.75,2, ,7,,21.6,2, ,7
,103.2,3, ,4,,39.15,1, ,6,,27.9,2, ,2,,21.75,1, ,5
,103.65,3, ,8,,39.3,1, ,7,,28.2,2, ,7,,21.825,1, ,2
,104.1,3, ,3,,39.45,1, ,5,,28.35,2, ,7,,21.9,1, ,8
,104.4,3, ,2,,39.6,1, ,5,,28.425,2, ,2,,22.05,2, ,8
,104.7,3, ,8,,39.825,1, ,4,,28.5,2, ,3,,22.125,2, ,3
,105,3, ,2,,40.05,1, ,4,,28.8,1, ,4,,22.2,2, ,4
,105.3,3, ,3,,40.2,1, ,1,,29.1,1, ,8,,22.35,3, ,5
,105.6,4, ,1,,40.425,1, ,7,,29.25,1, ,5,,22.425,3, ,2
,106.05,4, ,1,,40.65,1, ,5,,29.55,2, ,7,,22.5,3, ,8
,106.5,4, ,5,,40.8,2, ,4,,29.85,3, ,2,,22.65,4, ,2
,106.8,4, ,2,,41.1,2, ,3,,30.15,4, ,6,,22.725,4, ,4
,107.1,4, ,8,,41.25,2, ,6,,30.45,3, ,6,,22.8,4, ,6
,107.4,4, ,6,,41.55,2, ,6,,30.75,2, ,6,,22.95,3, ,1
,107.7,4, ,8,,41.7,2, ,6,,31.05,1, ,5,,23.025,3, ,3
,108,1, ,8,,42,2, ,7,,31.2,1, ,4,,23.1,3, ,1
,108.45,1, ,4,,42.15,2, ,5,,31.5,2, ,4,,23.25,2, ,2
,108.9,1, ,8,,42.45,2, ,2,,31.65,2, ,8,,23.325,2, ,6
,109.2,1, ,8,,42.6,2, ,3,,31.95,3, ,3,,23.4,2, ,1
,109.5,1, ,1,,42.75,2, ,3,,32.25,4, ,1,,23.55,1, ,3
,109.8,1, ,1,,42.9,2, ,7,,32.55,3, ,3,,23.7,2, ,2
,110.1,1, ,7,,43.2,3, ,1,,32.85,2, ,2,,23.775,2, ,4
,110.4,2, ,8,,43.35,3, ,2,,33.15,1, ,4,,23.85,2, ,1
,110.85,2, ,6,,43.5,3, ,2,,33.3,1, ,7,,23.925,2, ,4
,111.3,2, ,4,,43.65,3, ,4,,33.6,3, ,7,,24,2, ,5
,111.6,2, ,2,,43.95,3, ,8,,33.75,3, ,2,,24.15,1, ,3
,111.9,2, ,6,,44.1,3, ,4,,33.825,3, ,5,,24.225,1, ,5
,112.2,2, ,4,,44.25,3, ,1,,33.9,3, ,5,,24.3,1, ,8
,112.5,2, ,5,,44.4,3, ,1,,33.975,3, ,8,,24.375,1, ,1
,112.8,3, ,1,,44.7,3, ,2,,34.05,3, ,1,,24.45,1, ,3
,113.25,3, ,6,,45,3, ,4,,34.35,3, ,5,,24.75,2, ,1
,113.7,3, ,3,,45.3,3, ,8,,34.425,3, ,8,,24.825,2, ,8
,114.3,3, ,1,,45.6,4, ,3,,34.5,3, ,1,,24.9,2, ,5
,114.6,3, ,8,,45.75,4, ,5,,34.65,3, ,6,,24.975,2, ,2
,114.9,3, ,7,,45.9,4, ,3,,34.725,3, ,7,,25.05,2, ,7
,115.2,4, ,4,,46.05,4, ,4,,34.95,3, ,4,,25.35,3, ,2
,115.5,4, ,5,,46.2,4, ,7,,35.1,3, ,4,,25.5,3, ,3
,115.8,4, ,3,,46.35,4, ,3,,35.25,3, ,6,,25.65,3, ,7
,116.1,4, ,6,,46.5,4, ,5,,35.325,3, ,8,,25.725,3, ,1
,116.4,4, ,1,,46.65,4, ,6,,35.4,3, ,1,,25.8,3, ,7
,116.7,4, ,4,,46.95,4, ,2,,35.55,3, ,6,,25.875,3, ,7
,117,4, ,5,,47.1,4, ,6,,35.625,3, ,3,,25.95,3, ,1
,117.6,1, ,1,,47.4,4, ,8,,35.7,3, ,6,,26.025,3, ,8
,117.75,1, ,5,,47.7,4, ,7,,35.85,3, ,8,,26.1,3, ,8
,117.9,1, ,1,,48,1, ,7,,36,4, ,7,,26.175,3, ,4
,118.2,1, ,2,,48.15,1, ,8,,36.15,4, ,6,,26.25,3, ,5
,118.5,1, ,8,,48.3,1, ,8,,36.225,4, ,6,,26.325,3, ,5
,118.8,1, ,2,,48.45,1, ,3,,36.3,4, ,2,,26.4,3, ,7
,118.95,1, ,2,,48.75,1, ,3,,36.375,4, ,8,,26.55,4, ,7
,119.1,1, ,7,,48.9,1, ,1,,36.45,4, ,4,,26.625,4, ,4
,119.25,1, ,7,,49.05,1, ,2,,36.525,4, ,3,,26.7,4, ,7
,119.55,1, ,1,,49.2,1, ,5,,36.675,4, ,5,,26.775,4, ,3
,119.7,1, ,6,,49.5,1, ,4,,36.75,4, ,7,,26.85,4, ,1
,120,2, ,4,,49.8,1, ,2,,36.825,4, ,2,,27.15,3, ,4
,120.15,2, ,6,,50.1,1, ,2,,36.975,4, ,3,,27.225,3, ,1
,120.3,2, ,2,,50.4,1, ,4,,37.05,4, ,1,,27.3,3, ,3
,120.6,2, ,1,,50.625,1, ,3,,37.35,4, ,1,,27.375,3, ,4
,120.9,2, ,6,,50.85,1, ,3,,37.5,4, ,4,,27.45,3, ,3
,121.2,2, ,6,,51.15,1, ,3,,37.575,4, ,6,,27.75,2, ,3
,121.425,2, ,3,,51.3,1, ,6,,37.65,4, ,5,,27.825,2, ,4
,121.65,2, ,4,,51.45,1, ,6,,37.725,4, ,3,,27.9,2, ,7
,121.875,2, ,8,,51.6,1, ,7,,37.8,4, ,8,,28.05,1, ,8
,122.1,2, ,5,,51.9,1, ,7,,38.4,1, ,7,,28.125,1, ,7
,122.4,3, ,8,,52.2,1, ,7,,38.55,1, ,4,,28.2,1, ,1
,122.55,3, ,3,,52.5,1, ,8,,38.625,1, ,6,,28.425,1, ,3
,122.7,3, ,3,,52.8,2, ,4,,38.7,1, ,4,,28.65,1, ,6
,123,3, ,5,,52.95,2, ,7,,38.85,1, ,1,,28.8,1, ,1
,123.3,3, ,5,,53.1,2, ,3,,38.925,1, ,4,,29.1,1, ,1
,123.45,3, ,5,,53.25,2, ,7,,39.15,1, ,1,,29.25,2, ,2
,123.6,3, ,8,,53.55,2, ,5,,39.225,1, ,8,,29.325,2, ,1
,123.825,3, ,2,,53.7,2, ,5,,39.3,1, ,3,,29.4,2, ,4
,124.05,3, ,6,,53.85,2, ,5,,39.45,1, ,5,,29.55,3, ,6
,124.35,3, ,7,,54.15,2, ,5,,39.525,1, ,2,,29.625,3, ,2
,124.5,3, ,3,,54.375,2, ,7,,39.6,1, ,7,,29.7,3, ,1
,124.65,3, ,2,,54.6,2, ,7,,39.75,1, ,4,,29.85,4, ,1
,124.8,4, ,4,,54.825,2, ,7,,39.825,1, ,7,,29.925,4, ,5
,124.95,4, ,5,,55.05,2, ,2,,39.975,1, ,3,,30,4, ,5
,125.1,4, ,5,,55.2,3, ,4,,40.05,1, ,6,,30.15,3, ,1
,125.4,4, ,8,,55.5,3, ,6,,40.2,1, ,7,,30.225,3, ,8
,125.55,4, ,1,,55.65,3, ,1,,40.35,1, ,3,,30.3,3, ,3
,125.7,4, ,7,,55.95,3, ,6,,40.425,1, ,1,,30.45,2, ,4
,125.85,4, ,1,,56.1,3, ,6,,40.575,1, ,3,,30.525,2, ,1
,126,4, ,7,,56.25,3, ,8,,40.65,1, ,7,,30.6,2, ,4
,126.225,4, ,8,,56.4,3, ,7,,40.8,2, ,2,,30.75,1, ,6
,126.45,4, ,1,,56.7,3, ,5,,41.1,2, ,6,,30.825,1, ,5
,126.675,4, ,5,,57,3, ,5,,41.25,2, ,5,,30.9,1, ,4
,126.9,4, ,2,,57.15,3, ,5,,41.55,2, ,6,,31.05,2, ,3
,127.2,1, ,8,,57.3,3, ,1,,41.7,2, ,6,,31.125,2, ,3
,127.35,1, ,5,,57.6,1, ,8,,42,2, ,5,,31.2,2, ,4
,127.5,1, ,3,,57.9,1, ,1,,42.15,2, ,5,,31.35,1, ,7
,127.8,1, ,7,,58.05,1, ,3,,42.3,2, ,2,,31.425,1, ,4
,127.95,1, ,7,,58.2,1, ,6,,42.45,2, ,7,,31.5,1, ,3
,128.1,1, ,3,,58.425,1, ,5,,42.525,2, ,2,,31.65,2, ,7
,128.25,1, ,2,,58.65,1, ,1,,42.6,2, ,6,,31.725,2, ,6
,128.4,1, ,5,,58.95,1, ,1,,42.675,2, ,5,,31.8,2, ,8
,128.55,1, ,7,,59.1,1, ,1,,42.75,2, ,1,,31.95,3, ,3
,128.7,1, ,7,,59.4,1, ,7,,42.825,2, ,6,,32.025,3, ,3
,128.85,1, ,6,,59.625,1, ,1,,42.9,2, ,6,,32.1,3, ,5
,129.15,1, ,1,,59.85,1, ,4,,42.975,2, ,3,,32.25,4, ,3
,129.3,1, ,2,,60.3,1, ,4,,43.05,2, ,1,,32.325,4, ,2
,129.6,2, ,7,,60.525,1, ,4,,43.2,3, ,3,,32.4,4, ,5
,129.75,2, ,3,,60.75,1, ,1,,43.35,3, ,3,,32.55,3, ,3
,129.9,2, ,5,,60.975,1, ,8,,43.425,3, ,6,,32.625,3, ,8
,130.2,2, ,5,,61.2,1, ,1,,43.5,3, ,2,,32.7,3, ,7
,130.35,2, ,4,,61.5,1, ,3,,43.65,3, ,2,,32.85,2, ,2
,130.5,2, ,7,,61.8,1, ,3,,43.725,3, ,2,,32.925,2, ,5
,130.65,2, ,7,,62.4,1, ,2,,43.95,3, ,3,,33,2, ,1
,130.8,2, ,2,,62.7,1, ,3,,44.025,3, ,3,,33.15,1, ,3
,131.025,2, ,2,,62.925,1, ,8,,44.1,3, ,6,,33.3,2, ,7
,131.25,2, ,6,,63.15,1, ,2,,44.25,3, ,6,,33.375,2, ,1
,131.475,2, ,8,,63.3,1, ,7,,44.325,3, ,4,,33.45,2, ,4
,131.7,2, ,3,,63.45,1, ,3,,44.4,3, ,3,,33.525,2, ,1
,132,3, ,8,,63.6,1, ,2,,44.55,3, ,2,,33.6,2, ,5
,132.15,3, ,6,,63.9,1, ,2,,44.625,3, ,5,,33.75,1, ,7
,132.3,3, ,1,,64.2,1, ,1,,44.775,3, ,4,,33.825,1, ,8
,132.6,3, ,3,,64.425,1, ,5,,44.85,3, ,8,,33.9,1, ,6
,132.75,3, ,6,,64.65,1, ,6,,45,3, ,8,,33.975,1, ,7
,132.9,3, ,3,,64.8,1, ,4,,45.15,3, ,1,,34.05,1, ,6
,133.2,4, ,3,,65.1,1, ,6,,45.225,3, ,4,,34.2,1, ,7
,133.35,4, ,5,,65.25,1, ,4,,45.375,3, ,7,,34.35,1, ,2
,133.5,4, ,6,,65.55,1, ,4,,45.45,3, ,7,,34.425,1, ,5
,133.65,4, ,1,,65.7,1, ,2,,45.6,4, ,1,,34.5,1, ,7
,133.8,4, ,2,,65.85,1, ,2,,45.75,4, ,2,,34.575,1, ,3
,134.1,4, ,4,,66,1, ,6,,45.825,4, ,5,,34.65,1, ,2
,134.25,4, ,3,,66.15,1, ,6,,45.9,4, ,2,,34.95,2, ,7
,134.4,3, ,2,,66.3,1, ,1,,46.05,4, ,8,,35.1,2, ,8
,134.7,3, ,5,,66.45,1, ,3,,46.2,4, ,2,,35.25,2, ,5
,134.85,3, ,4,,66.6,1, ,5,,46.275,4, ,6,,35.325,2, ,8
,135.15,3, ,1,,66.75,1, ,3,,46.35,4, ,8,,35.4,2, ,5
,135.3,3, ,7,,66.9,1, ,7,,46.5,4, ,3,,35.55,2, ,1
,135.6,4, ,1,,67.2,1, ,8,,46.65,4, ,6,,35.625,2, ,1
,135.75,4, ,8,,69.6,1, ,1,,46.725,4, ,2,,35.7,2, ,6
,135.9,4, ,3,,69.75,1, ,2,,46.8,4, ,4,,35.775,2, ,3
,136.05,4, ,4,,69.9,1, ,7,,46.95,4, ,1,,35.85,2, ,8
,136.2,4, ,6,,70.05,1, ,3,,47.1,4, ,4,,35.925,2, ,7
,136.5,4, ,7,,70.35,1, ,1,,47.175,4, ,4,,36,2, ,5
,136.8,1, ,8,,70.5,1, ,8,,47.25,4, ,1,,36.15,3, ,5
,137.1,1, ,6,,70.65,1, ,2,,47.325,4, ,3,,36.225,3, ,5
,137.25,1, ,6,,70.8,1, ,3,,47.4,4, ,2,,36.3,3, ,4
,137.4,1, ,4,,70.95,1, ,3,,47.7,4, ,7,,36.45,3, ,7
,137.625,1, ,7,,71.1,1, ,1,,48,1, ,8,,36.6,3, ,3
,137.85,1, ,4,,71.25,1, ,8,,48.15,1, ,4,,36.675,3, ,5
,138.15,1, ,4,,71.55,1, ,5,,48.225,1, ,5,,36.75,3, ,1
,138.3,1, ,4,,71.7,1, ,5,,48.3,1, ,7,,36.825,3, ,1
,138.6,1, ,1,,72,2, ,2,,48.45,1, ,7,,36.9,3, ,1
,138.825,1, ,3,,72.15,2, ,3,,48.525,1, ,3,,37.05,3, ,7
,139.05,1, ,8,,72.3,2, ,8,,48.75,1, ,6,,37.125,3, ,3
,139.5,1, ,1,,72.45,2, ,4,,48.825,1, ,8,,37.2,3, ,7
,139.725,1, ,4,,72.75,2, ,7,,48.9,1, ,6,,37.275,3, ,3
,139.95,1, ,7,,72.9,2, ,5,,49.05,1, ,1,,37.35,3, ,7
,140.175,1, ,6,,73.05,2, ,7,,49.125,1, ,8,,37.5,4, ,6
,140.4,1, ,1,,73.2,2, ,3,,49.2,1, ,3,,37.575,4, ,1
,140.7,1, ,1,,73.5,2, ,8,,49.425,1, ,3,,37.65,4, ,5
,141,1, ,5,,73.65,2, ,8,,49.65,1, ,6,,37.8,4, ,1
,141.6,1, ,3,,73.95,2, ,6,,49.725,1, ,1,,38.1,1, ,6
,141.9,1, ,8,,74.1,2, ,5,,49.8,1, ,3,,38.175,1, ,4
,142.125,1, ,8,,74.4,3, ,3,,50.025,1, ,6,,38.25,1, ,7
,142.35,1, ,5,,74.55,3, ,3,,50.25,1, ,4,,38.325,1, ,4
,142.5,1, ,4,,74.7,3, ,5,,50.4,2, ,8,,38.4,1, ,4
,142.65,1, ,7,,75,3, ,3,,50.55,2, ,2,,38.55,1, ,2
,142.8,1, ,3,,75.15,3, ,7,,50.625,2, ,4,,38.625,1, ,4
,143.1,1, ,2,,75.3,3, ,5,,50.775,2, ,6,,38.7,1, ,1
,143.4,1, ,4,,75.45,3, ,4,,50.85,2, ,7,,38.85,1, ,3
,143.625,1, ,8,,75.75,3, ,5,,51,2, ,3,,38.925,1, ,8
,143.85,1, ,5,,75.9,3, ,3,,51.075,2, ,2,,39.15,2, ,4
,144,1, ,3,,76.05,3, ,5,,51.15,2, ,5,,39.225,2, ,4
,144.3,1, ,4,,76.35,3, ,5,,51.3,2, ,2,,39.3,2, ,4
,144.45,1, ,7,,76.5,3, ,4,,51.375,2, ,2,,39.45,2, ,4
,144.75,1, ,7,,76.8,4, ,8,,51.45,2, ,8,,39.525,2, ,1
,144.9,1, ,5,,76.95,4, ,4,,51.525,2, ,5,,39.6,2, ,2
,145.05,1, ,4,,77.25,4, ,4,,51.6,2, ,1,,39.75,3, ,1
,145.2,1, ,3,,77.55,4, ,8,,51.75,2, ,6,,39.825,3, ,7
,145.35,1, ,7,,77.7,4, ,7,,51.9,2, ,4,,39.975,4, ,5
,145.5,1, ,5,,77.85,4, ,8,,51.975,2, ,2,,40.05,4, ,1
